"metric_item_label","metric_item_label_subtitle"
"People with Disabilities","Percent of the population with a long-term disability of any kind"
"Per-capita Household Income","Per capita household income (U.S. dollars)"
"Pneumonia or Influenza Deaths","Deaths from pneumonia or influenza (per 100,000 population, age-adjusted)"
"Police Killings","Unarmed people killed by police (per 1,000,000 population, average of annual rates for years 2013-2021)"
"Poor Air Quality","Percent of days where the air quality was not good (air quality pollution index 51+, county data)"
"Population Density","Population per square mile"
"Poverty and Near Poverty in All Ages","Percent of the poulation living below 200% of the federal poverty level"
"Poverty in All Ages","Percent of the population living below 100% of the federal poverty level"
"Poverty in Children","Percent of children aged <18 living below 100% of the federal poverty level"
"Premature Death","Years of potential life lost before age 75 (per 100,000 population, age-adjusted)"
"Prenatal Care","Percent of births for which prenatal care began in the first trimester"
"Preschool Enrollment","Percent of children aged 3 and 4 enrolled in preschool"
"Preterm Births","Live births before completion of 37 weeks of gestation (per 100 live births)"
"Primarily Speak Chinese","Percent of the population who also speak Chinese at home"
"Primarily Speak English","Percent of the population who only speak English at home"
"Primarily Speak Spanish","Percent of the population who also speak Spanish at home"
"Prostate Cancer Deaths","Deaths from prostate cancer in males (per 100,000 population, age-adjusted)"
"Public Assistance","Percent of households who recieve public assistance (including food assistance)"
"Public Transportation Use","Percent of workers aged 16+ who use public transportation to commute to work"
"Racial Disparity in Police Killings","Difference in police killings of unarmed Black people vs. unarmed white people (per 1,000,000 population, average of annual rates for years 2013-2021)"
"Racial Segregation, White and Asian","Residential segregation of white and Asian residents, Dissimilarity Index ranges 0 (complete integration) to 100 (complete segregation)"
"Racial Segregation, White and Black","Residential segregation of white and Black residents, Dissimilarity Index ranges 0 (complete integration) to 100 (complete segregation)"
"Racial Segregation, White and Hispanic","Residential segregation of white non-Hispanic and Hispanic residents, Dissimilarity Index ranges 0 (complete integration) to 100 (complete segregation)"
"Racial Segregation, White and Non-White","Residential segregation of white and non-white residents, Dissimilarity Index ranges 0 (complete integration) to 100 (complete segregation)"
"Renters vs. Owners","Ratio of renter to owner occupied housing units"
"Riding Bike to Work","Percent of workers aged 16+ who bicycle to work"
"School Bullying","Percent of high school students  bullied at school in the past year"
"Seniors","Percent of the population 65 and over"
"Service Workers","Percent of workers aged 16+ employed in service or labor occupations"
"Single-Parent Families","Percent of single parent householder with children under 18"
"Suicide","Deaths from suicide (per 100,000 population, age-adjusted)"
"Syphilis Prevalence","Persons living with primary and secondary syphilis (per 100,000 population, county data)"
"Syphilis, Newborns","Number of newborns with Congenital syphilis (per 100,000 live births, county data)"
"Teen Alcohol","Percent of high school students drank alcohol in the past month"
"Teen Asthma","Percent of high school students ever diagnosed with asthma"
"Teen Birth Control","Percent of sexually active high school students who did not use birth control during last sexual intercourse"
"Teen Births","Number of live births per 1,000 females aged 15-19"
"Teen Breakfast","Percent of high school students did not eat breakfast in the past 7 days"
"Teen Computer Time","Percent of high school students played video or computer games or used a computer three or more hours per day on an average school day"
"Teen Marijuana","Percent of high school students used marijuana in the past month"
"Teen Mental Distress","Percent of high school students with mental health not good for 2 weeks or more during past 30 days"
"Teen Obesity","Percent of high school students who are obese"
"Teen Physical Activity","Percent of high school students not physically active on at least 5 days during the past 7 days"
"Teen Physical Education","Percent of high school students did not attend PE class one or more days in past 7 days"
"Teen Physical Inactivity","Percent of high school students not physically active"
"Teen Smoking","Percent of high school students who are current smokers"
"Teen Soda","Percent of high school students drank soda one or more times per day in the past 7 days"
"Teen Suicidal Ideation","Percent of high school students that made a plan to attempt suicide in the past year"
"Teen TV Time","Percent of high school students watched television three or more hours per day on an average school day"
"Unemployment","Percent of the population aged 16+ unemployed"
"Uninsured, All Ages","Percent of the population without health insurance"
"Uninsured, Child","Percent of children aged <19 without health insurance"
"Vacant Housing Units","Percent of housing units that are vacant"
"Vacant Housing and Homelessness","Ratio of vacant rental housing unit per persons who are unhoused (sheltered and unsheltered)"
"Violent Crime","Violent crimes which includes murder, aggravated assault, robbery, forcible rape (per 100,000 population)"
"Walking to Work","Percent of workers aged 16+ who walk to work"
"Weapons in School","Percentage of high school students carried a weapon  to school during the past month"
